7166268565291830555;;Stvncekrekpesawat;;3900000;;371700;;1990;;2199;;g20;;
7166465483447799066;;Indonesian 🇮🇩;;1600000;;106300;;1823;;1534;;g20;;
7166086811301842203;;Tribun Medan;;8700000;;480400;;6422;;1909;;g20;;
7166135812952755483;;Presiden Netizen;;2400000;;193900;;4969;;3468;;g20;;
7166075660237131035;;Tribun Medan;;5100000;;231500;;3007;;871;;g20;;
7166531543865822491;;Wartabromo;;15000;;769;;33;;17;;g20;;
7165888639455481115;;Presiden Netizen;;8900000;;1100000;;11500;;12300;;g20;;
7165810247859277083;;Presiden Netizen;;2200000;;139900;;2370;;1719;;g20;;
7166288267225189658;;Masyoyoy;;768300;;18000;;298;;35;;g20;;
7166533267225709851;;Kompas TV;;35400;;3053;;158;;43;;g20;;
